2023-09-20 09:17:24,691 - INFO - Successfully crawled https://vapetravellers.eu/ετικέτα-προϊόντος/omerta-folyadekok-2/ with Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML. Title: Omerta folyadékok - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 139380, Images: 36, Links: 142, Duration: 2.97 seconds
2023-09-20 09:17:26,719 - INFO - Successfully crawled https://vapetravellers.eu/ετικέτα-προϊόντος/omerta-folyadekok-2/ with  like Gecko) Chrome/58.0.3029.110 Safari/537. Title: Omerta folyadékok - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 139380, Images: 36, Links: 142, Duration: 2.99 seconds
2023-09-20 09:17:28,605 - INFO - Successfully crawled https://vapetravellers.eu/ετικέτα-προϊόντος/omerta-folyadekok-2/ with Mozilla/5.0 (Linux; Android 10; SM-G975F) AppleWebKit/537.36 (KHTML. Title: Omerta folyadékok - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 139342, Images: 36, Links: 142, Duration: 2.86 seconds
2023-09-20 09:17:30,604 - INFO - Successfully crawled https://vapetravellers.eu/ετικέτα-προϊόντος/omerta-folyadekok-2/ with  like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36. Title: Omerta folyadékok - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 139321, Images: 36, Links: 142, Duration: 2.86 seconds
2023-09-20 09:17:33,916 - INFO - Successfully crawled https://vapetravellers.eu/hu/ετικέτα-προϊόντος/ivg-kesz-folyadek/ with Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML. Title: IVG kész folyadék - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 144582, Images: 39, Links: 150, Duration: 4.16 seconds
2023-09-20 09:17:34,633 - INFO - Successfully crawled https://vapetravellers.eu/hu/ετικέτα-προϊόντος/ivg-kesz-folyadek/ with  like Gecko) Chrome/58.0.3029.110 Safari/537. Title: IVG kész folyadék - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 144582, Images: 39, Links: 150, Duration: 2.87 seconds
2023-09-20 09:17:36,747 - INFO - Successfully crawled https://vapetravellers.eu/hu/ετικέτα-προϊόντος/ivg-kesz-folyadek/ with Mozilla/5.0 (Linux; Android 10; SM-G975F) AppleWebKit/537.36 (KHTML. Title: IVG kész folyadék - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 144613, Images: 39, Links: 150, Duration: 2.95 seconds
2023-09-20 09:17:38,813 - INFO - Successfully crawled https://vapetravellers.eu/hu/ετικέτα-προϊόντος/ivg-kesz-folyadek/ with  like Gecko) Chrome/89.0.4389.105 Mobile Safari/537.36. Title: IVG kész folyadék - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 144592, Images: 39, Links: 150, Duration: 3.01 seconds
2023-09-20 09:17:41,062 - INFO - Successfully crawled https://vapetravellers.eu/de/προϊόν/tyson-vape-hhc-thc-p-granddaddy-purple-2ml/ with Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML. Title: Tyson Vape HHC + Granddaddy Lila 2ml - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 190724, Images: 52, Links: 181, Duration: 3.24 seconds
2023-09-20 09:17:42,798 - INFO - Successfully crawled https://vapetravellers.eu/de/προϊόν/tyson-vape-hhc-thc-p-granddaddy-purple-2ml/ with  like Gecko) Chrome/58.0.3029.110 Safari/537. Title: Tyson Vape HHC + Granddaddy Lila 2ml - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 190724, Images: 52, Links: 181, Duration: 2.98 seconds
2023-09-20 09:17:44,974 - INFO - Successfully crawled https://vapetravellers.eu/de/προϊόν/tyson-vape-hhc-thc-p-granddaddy-purple-2ml/ with Mozilla/5.0 (Linux; Android 10; SM-G975F) AppleWebKit/537.36 (KHTML. Title: Tyson Vape HHC + Granddaddy Lila 2ml - Vape Travellers Shop ηλεκτρονικό τσιγάρο, Page Length: 190755, Images: 52, Links: 181, Duration: 3.07 seconds
